I,1,piesa,0.1,5,5,10,1
I,2,piesa,1.0,6,5,10,1
I,3,piesa,1.7976931348623157E308,9,5,10,1
I,4,piesa,1.7976931348623157E308,10,5,10,1
I,5,piesa,0.1,5,5,10,1
I,6,piesa,1.0,6,5,10,1
I,7,piesa,1.7976931348623157E308,9,5,10,1
I,8,piesa,1.7976931348623157E308,10,5,10,1
I,9,piesa,0.1,5,5,10,1
I,10,piesa,1.0,6,5,10,1
I,11,piesa,1.7976931348623157E308,9,5,10,1
I,12,piesa,1.7976931348623157E308,10,5,10,1
I,13,piesa,0.1,5,5,10,1
I,14,piesa,1.0,6,5,10,1
I,15,piesa,1.7976931348623157E308,9,5,10,1
I,16,piesa,1.7976931348623157E308,10,5,10,1
I,17,piesa,0.1,5,5,10,1
I,18,piesa,1.0,6,5,10,1
I,19,piesa,1.7976931348623157E308,9,5,10,1
I,20,piesa,1.7976931348623157E308,10,5,10,1
I,21,piesa,0.1,5,5,10,1
I,22,piesa,1.0,6,5,10,1
I,23,piesa,1.7976931348623157E308,9,5,10,1
I,24,piesa,1.7976931348623157E308,10,5,10,1
I,25,piesa,0.1,5,5,10,1
I,26,piesa,1.0,6,5,10,1
I,27,piesa,1.7976931348623157E308,9,5,10,1
I,28,piesa,1.7976931348623157E308,10,5,10,1
I,29,piesa,0.1,5,5,10,1
I,30,piesa,1.0,6,5,10,1
I,31,piesa,1.7976931348623157E308,9,5,10,1
I,32,piesa,1.7976931348623157E308,10,5,10,1
P,1,Test Product,50.0,20,5,30,1
P,2,Test Product,50.0,20,5,30,1
P,3,Test Product,50.0,20,5,30,1
P,4,Test Product,50.0,20,5,30,1
